,location,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022
0,E01,-82.72118,-68.0,-79.94777,-65.0,-81.51093,-77.0,-74.71989,-89.0,-79.0,-64.0,-65.280754,-73.98143,-65.0,-70.74875,-81.0,-89.66539,-200,-200,-80.0,-69.0,-200,-89.59069
1,E01,-78.0,-67.49988,-74.0,-73.623188,-80.0,-78.00025,-84.998505,-82.67689,-77.99975,-64.0,-79.0,-73.98143,-68.97487,-69.0,-88.94684,-89.66539,-200,-200,-79.49988,-69.50012,-200,-88.0
2,E01,-82.72118,-61.8544715,-73.49988,-64.49988,-81.51093,-84.335087,-74.71989,-82.67689,-77.66622,-63.66639,-74.49888,-70.0,-68.97487,-75.501625,-88.94684,-89.66539,-200,-200,-86.74085,-70.75154,-200,-89.59069
3,E01,-81.50088,-63.997,-74.33395,-68.33645,-81.51093,-79.001,-74.71989,-82.67689,-86.451405,-74.081696,-72.998,-68.499626,-65.0,-70.74875,-82.500374,-89.66539,-200,-200,-86.74085,-70.75154,-200,-89.59069
4,E01,-82.33461,-62.996002,-79.94777,-71.006996,-81.51093,-78.249435,-79.327614,-85.32961,-86.451405,-64.50125,-65.280754,-68.33295,-64.66639,-70.74875,-83.334274,-89.66539,-200,-200,-86.74085,-69.666885,-200,-89.59069
5,E01,-83.503,-62.996803,-79.94777,-73.623188,-81.51093,-77.9988,-76.49076,-83.24357,-79.25243,-65.604294,-71.49588,-73.98143,-64.74994,-71.99817,-84.00187,-89.66539,-200,-200,-86.74085,-70.25118,-200,-89.59069
6,E01,-82.72118,-61.8544715,-74.75119,-69.801994,-81.51093,-84.335087,-74.78752,-82.79351,-80.004196,-65.837975,-70.59401,-66.997375,-68.97487,-70.24557,-88.94684,-89.66539,-200,-200,-86.74085,-70.4014,-200,-89.59069
7,E01,-82.72118,-61.8544715,-74.3999,-69.332855,-79.49988,-84.335087,-74.71989,-82.67689,-81.342926,-74.081696,-73.84314,-69.2045,-64.3989,-68.992714,-83.3997,-89.66539,-200,-200,-86.74085,-70.75154,-200,-89.999664
8,E01,-81.9979,-63.499626,-73.83066,-69.57256,-81.51093,-79.673294,-74.488235,-82.3258,-86.451405,-74.081696,-65.280754,-69.83997,-63.997257,-70.74875,-83.66763,-89.66539,-200,-200,-86.74085,-72.845634,-200,-89.59069
9,E01,-80.993675,-63.57157,-79.94777,-69.75255,-78.33228,-80.58297,-73.8429,-82.710304,-86.451405,-65.861275,-65.280754,-73.98143,-63.710083,-68.82651,-83.71542,-89.66539,-200,-200,-79.666725,-75.02459,-200,-89.59069
10,E01,-82.72118,-63.62559,-73.99879,-73.623188,-77.99863,-84.335087,-73.10616,-82.999016,-80.71848,-65.62659,-75.87867,-71.157036,-68.97487,-68.56389,-88.94684,-89.66539,-200,-200,-80.000626,-75.525856,-200,-88.74756
11,E01,-82.72118,-61.8544715,-74.37721,-69.89272,-81.51093,-84.335087,-74.71989,-82.21256,-81.8888,-65.55618,-75.89397,-70.12851,-64.62927,-67.98843,-88.94684,-89.66539,-200,-200,-86.74085,-75.242035,-200,-89.59069
12,E01,-80.707016,-63.78003,-74.33482,-70.51212,-81.51093,-80.13119,-74.71989,-82.67689,-86.451405,-74.081696,-75.90588,-69.43987,-64.89566,-70.74875,-83.877396,-89.66539,-200,-200,-86.74085,-70.75154,-200,-89.59069
13,E01,-80.99614,-64.71511,-79.94777,-70.834724,-81.51093,-80.453545,-73.76843,-82.393845,-86.451405,-74.081696,-65.280754,-73.98143,-65.7176,-70.74875,-83.77881,-89.66539,-200,-200,-80.0005,-74.81181,-200,-89.59069
14,E01,-81.44604,-65.203926,-79.94777,-73.623188,-81.51093,-84.335087,-73.38624,-82.542404,-86.451405,-65.90546,-76.92963,-73.98143,-68.97487,-67.87736,-83.80124,-89.66539,-200,-200,-80.83756,-74.36675,-200,-89.59069
15,E01,-82.72118,-61.8544715,-74.19945,-73.623188,-79.2025,-84.335087,-73.07304,-82.92166,-82.46313,-66.09919,-77.58359,-68.78674,-68.97487,-67.58554,-88.94684,-89.66539,-200,-200,-81.43605,-73.825066,-200,-89.59069
16,E01,-81.9079,-64.76117,-73.99602,-70.08306,-81.51093,-84.335087,-74.71989,-82.67689,-86.451405,-74.081696,-77.87426,-68.25151,-65.83621,-67.53138,-84.18959,-89.66539,-200,-200,-86.74085,-70.75154,-200,-89.59069
17,E01,-82.1014,-64.385826,-73.826195,-69.44584,-81.51093,-80.30613,-72.81158,-83.0855,-86.451405,-74.081696,-65.280754,-67.80471,-65.93523,-70.74875,-84.4287,-89.66539,-200,-200,-82.01152,-73.917694,-200,-89.59069
18,E01,-82.09277,-64.798485,-79.94777,-73.623188,-81.51093,-80.92526,-72.905266,-83.005714,-86.451405,-66.175835,-65.280754,-73.98143,-66.3345,-67.82649,-84.78908,-89.66539,-200,-200,-82.684425,-73.48273,-200,-89.59069
19,E01,-82.72118,-61.8544715,-74.47057,-73.623188,-81.51093,-81.78243,-73.20624,-82.93642,-86.451405,-66.24081,-78.59368,-73.98143,-68.97487,-68.076675,-88.94684,-89.66539,-200,-200,-82.31075,-73.10495,-200,-89.199394
20,E01,-82.72118,-61.8544715,-74.95051,-69.48657,-81.51093,-84.335087,-74.71989,-82.67689,-86.451405,-66.29661,-79.21157,-67.50477,-66.82443,-68.29155,-88.94684,-89.66539,-200,-200,-86.74085,-70.75154,-200,-89.50087
21,E01,-82.400795,-64.81237,-75.22953,-69.59085,-81.51093,-81.87842,-74.71989,-82.67689,-86.451405,-74.081696,-65.280754,-67.17365,-67.112144,-70.74875,-84.951584,-89.66539,-200,-200,-86.74085,-70.75154,-200,-89.59069
22,E01,-82.22433,-64.69475,-79.94777,-69.16311,-81.51093,-81.519844,-72.91641,-82.486244,-86.451405,-66.62069,-65.280754,-73.98143,-67.104866,-70.74875,-85.09273,-89.66539,-200,-200,-82.466995,-73.55244,-200,-89.59069
23,E01,-81.72655,-64.6521,-79.94777,-73.623188,-81.51093,-84.335087,-72.72714,-82.27224,-82.1119,-66.90491,-78.78357,-73.98143,-68.97487,-68.82269,-88.94684,-89.66539,-200,-200,-82.42726,-73.2116,-200,-89.751305
24,E01,-82.72118,-61.8544715,-75.149734,-69.09171,-81.51093,-84.335087,-72.37558,-82.02326,-82.47152,-67.033516,-78.21352,-67.02388,-68.97487,-69.2885,-88.94684,-89.66539,-200,-200,-82.78775,-72.8496,-200,-89.55452
25,E01,-82.72118,-64.78893,-75.20193,-68.736694,-81.51093,-84.335087,-74.71989,-82.67689,-86.451405,-74.081696,-78.261795,-67.08723,-66.914276,-70.74875,-85.21651,-89.66539,-200,-200,-86.74085,-70.75154,-200,-89.59069
26,E01,-81.5496,-64.91168,-75.365,-68.75131,-81.51093,-81.897446,-72.52853,-82.67689,-86.451405,-74.081696,-65.280754,-67.08187,-67.09411,-70.74875,-85.20322,-89.66539,-200,-200,-86.74085,-72.69141,-200,-89.59069
27,E01,-81.57725,-64.86332,-79.94777,-73.623188,-81.51093,-82.423294,-72.832275,-81.85542,-81.92091,-66.79845,-65.280754,-73.98143,-67.03337,-69.51633,-85.541046,-89.66539,-200,-200,-82.72985,-72.548645,-200,-89.59069
28,E01,-82.72118,-61.8544715,-79.94777,-73.623188,-81.51093,-84.335087,-73.10639,-81.81005,-81.532974,-66.53206,-77.60548,-66.90227,-68.97487,-69.71935,-88.94684,-89.66539,-200,-200,-82.61066,-72.36829,-200,-89.91239
29,E01,-82.72118,-61.8544715,-75.28922,-69.029724,-81.51093,-84.335087,-74.71989,-82.67689,-82.30233,-66.29166,-77.90495,-66.79666,-68.97487,-69.6239,-88.94684,-89.66539,-200,-200,-86.74085,-70.75154,-200,-89.74969
30,E01,-81.89328,-64.61615,-75.32693,-69.12986,-81.51093,-82.52008,-74.71989,-82.67689,-86.451405,-74.081696,-65.280754,-66.70136,-67.190735,-70.74875,-85.34447,-89.66539,-200,-200,-86.74085,-70.75154,-200,-89.59069
31,E01,-82.06575,-64.586075,-79.94777,-69.31879,-81.51093,-82.54805,-73.15181,-81.718056,-86.451405,-66.63259,-65.280754,-73.98143,-67.33351,-70.74875,-85.16706,-89.66539,-200,-200,-82.50613,-72.44795,-200,-89.59069
32,E01,-82.72118,-64.51153,-79.94777,-73.623188,-81.51093,-82.628654,-73.4373,-81.683,-86.451405,-66.894615,-77.963036,-73.98143,-68.97487,-69.48472,-85.0061,-89.66539,-200,-200,-82.65921,-72.5209,-200,-89.59069
33,E01,-82.72118,-61.8544715,-75.61525,-69.3508,-81.51093,-84.335087,-73.181755,-81.5099,-82.07478,-66.71157,-77.558334,-66.61489,-68.97487,-69.61255,-88.94684,-89.66539,-200,-200,-82.44596,-72.315895,-200,-89.53292
